Registre,Nom,Tipologia,Inscripció ,Capacitat,Adreça,Municipi,Districte,CP,Comarca,Telèfon,Titular,Qualificació,NIF
S03056,Residència assistida comarcal de Campdevànol,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1996-02-21,60,"Psg.Cortaló, 5",Campdevànol,,17530,Ripollès,972712030,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S09164,Servei d'ajuda domiciliària de l'Ajuntament de Badalona,Servei d'ajuda a domicili,2015-11-05,0,"Pça.Assamblea de Catalunya, 9-12, 1er",Badalona,,08911,Barcelonès,934832783,Ajuntament de Badalona,Entitat d'iniciativa pública,P0801500J
S11066,AQ Tarr Reus 0,Servei de residència temporal per a persones adultes en situació d'exclusió social,2023-05-04,47,"C.  Galio, 14",Reus,,43201,Baix Camp,,Comisión Española de Ayuda al Refugiado,Entitat privada d'iniciativa social,G28651529
S00628,Equip Serveis Socials Bàsics Cooperativa - Molí Nou. Casal Ciutat Cooperativa Moní Nou.,Servei bàsic d'atenció social,1990-06-18,0,"c.  Pau Casals, 7",Sant Boi de Llobregat,,08830,Baix Llobregat,936540152,Ajuntament de Sant Boi de Llobregat,Entitat d'iniciativa pública,P0819900B
S07444,Servei d'Atenció Domiciliària l'Onada Tarragona,Servei d'ajuda a domicili,2009-05-26,0,"C.  Sevilla, 15, bxs",Tarragona,,43001,Tarragonès,977215959,"Residència Tercera Edat L'Onada, SL",Entitat privada d'iniciativa mercantil,B43514504
S00633,CDIAP Integra Garrotxa,Servei d'atenció precoç,1990-06-18,0,"C.  Pintor Galwey, 1, 1er",Olot,,17800,Garrotxa,972266291,"INTEGRA, Associació per la Inclusió de Col·lectius de Risc",Entitat privada d'iniciativa social,G17035445
S02333,Serveis Socials d'Atenció Primària. Ajuntament de Tiana,Servei bàsic d'atenció social,1994-01-20,0,"Pça.de la Vila, 1",Tiana,,08391,Maresme,933955011,Ajuntament de Tiana,Entitat d'iniciativa pública,P0828200F
S07873,Residència assistida Can Serra,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2010-10-21,102,"C.  Masia de Can Serra, s/n",Sant Esteve Sesrovires,,08635,Baix Llobregat,937713017,"Serveis municipals de Sant Esteve Sesrovires, SL",Entitat d'iniciativa pública,B64909260
S09407,Servei d'atenció a les famílies,Servei de suport als serveis socials bàsics,2017-03-24,0,"C.  Vilardell, 44 Es.A, ent 1a",Barcelona,3,08014,Barcelonès,645608804,Asociación Proyecto Maternity de ayuda a la mujer embarazada,Entitat privada d'iniciativa social,G95616132
S00694,Residència d'Avis la Muntanyeta del Vendrell,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-07-25,90,"C.  Atzavara, 5","Vendrell, el",,43700,Baix Penedès,977660924,Patronat Municipal Hospital Asil del Santíssim Salvador del Vendrell,Entitat d'iniciativa pública,P9316504A
S07658,SAD Santa Tecla,Servei d'ajuda a domicili,2010-01-28,0,"C.  Joan Maragall, s/n",Tarragona,,43003,Tarragonès,977259908,Consorci per a l'Atenció Social i a les Dependències,Entitat privada d'iniciativa social,V43821339
S03393,Centre de dia Sant Roc de Canet,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1996-10-02,25,"Av. del Maresme, 23",Canet de Mar,,08360,Maresme,937943242,"Sant Roc de Canet, SL",Entitat privada d'iniciativa mercantil,B60338894
S08450,Centre de Dia Residència Sant Joan de Déu de Martorell,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2012-11-05,35,"Av. Cami Fondo, 22",Martorell,,08760,Baix Llobregat,,Fundació Residència Sant Joan de Déu de Martorell,Entitat privada d'iniciativa social,G62736582
S04774,"Pis recurs urbà d'acolliment-carrer Roca i Batlle -15, baixos 1a",Servei de pis amb suport per a persones amb drogodependències (baixa i alta intensitat),2001-02-21,8,"C.  Roca i Batlle, 15, bxs 1ª",Barcelona,5,08023,Barcelonès,934188853,"Centre d'Investigació i Tractament d'Addiccions, SA",Entitat privada d'iniciativa mercantil,A08945693
S00234,Residència Geriàtrica Vila Vella,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1989-01-18,62,"Psg.Vicenç Bou, 25",Torroella de Montgrí,,17257,Baix Empordà,972758373,Fundació Privada Hospital-Asil de Pobres i Malalts de Torroella de Montgrí,Entitat privada d'iniciativa social,G17037607
S08758,Àrea Bàsica Serveis Socials del Gironès. Sector 09 Flaçà,Servei bàsic d'atenció social,2014-03-26,0,"Pça.Estació Carrilet, 1",Flaçà,,17463,Gironès,972488058,Consell Comarcal del Gironès,Entitat d'iniciativa pública,P6700003D
S05395,Servei de suport Fundació Coinre,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2002-11-29,0,"C.  Juli Galve Brussons, 108-124",Badalona,,08918,Barcelonès,934607722,Fundació Privada Sique,Entitat privada d'iniciativa social,G61751863
S00335,Centre Municipal de Serveis Socials,Servei bàsic d'atenció social,1989-10-10,0,"C.  Sant Roc, 8-14",Amposta,,43870,Montsià,977702456,Ajuntament d'Amposta,Entitat d'iniciativa pública,P4301400J
S07808,Equip Bàsic d'Atenció Social número 4,Servei bàsic d'atenció social,2010-07-07,0,"C.  Antonio Machado, 58",Viladecans,,08840,Baix Llobregat,936373952,Ajuntament de Viladecans,Entitat d'iniciativa pública,P0830200B
S08508,Servei de suport al repartiment d'aliments de l'Ajuntament de Massanes,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2013-04-03,0,"C.  Major, 5",Massanes,,17452,Selva,972864480,Ajuntament de Massanes,Entitat d'iniciativa pública,P1710700D
S03873,Institució Benèfica Amics dels Avis (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1998-02-05,3,"C.  Creueta, 51",Navarcles,,08270,Bages,938310037,"Sant Andreu Salut, Fundació Privada",Entitat privada d'iniciativa social,G58666983
S04943,Residència de gent gran Sant Hilari,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2001-09-20,75,"Psg.14 d'abril, s/n",Sant Hilari Sacalm,,17403,Selva,,Ajuntament de Sant Hilari Sacalm,Entitat d'iniciativa pública,P1717400D
S06998,Llar Residència Ca n'Alzamora,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2008-01-04,12,"C.  Doctor Ferran, 21-23, bxs",Rubí,,08191,Vallès Occidental,935887077,Ajuntament de Rubí,Entitat d'iniciativa pública,P0818300F
S08799,Centre de dia per gent gran Mutuam-Manresa,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2014-05-07,20,"C.  Era de l'Huguet, 6-8",Manresa,,08240,Bages,,"Mutuam, Mútua de Previsió Social",Entitat privada d'iniciativa social,V08210676
S04280,Recurs Urbà de Reinserció i Tractament Egara,Servei de pis amb suport per a persones amb drogodependències (baixa i alta intensitat),1999-06-14,8,"Pça.Maragall, 4, 2on 2ª",Terrassa,,08221,Vallès Occidental,932376824,Associació ATRA,Entitat privada d'iniciativa social,G58219874
S07119,Vitalia Llorenç (Centre de dia),Servei de centre de dia per a gent gran de caràcter temporal o permanent,2008-05-29,20,"C.  Camí cal Prosset, 15",Llorenç del Penedès,,43712,Baix Penedès,948211461,"Vitalia Suite, SL",Entitat privada d'iniciativa mercantil,B99136558
S04416,Servei d'atenció precoç Agalma,Servei d'atenció precoç,1999-11-16,0,"C.  Castillejos, 421-423, bxs",Barcelona,6,08024,Barcelonès,933477439,"Agalma, SCCL",Entitat privada d'iniciativa social,F61783585
S05649,Residència les Dàlies,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-07-28,42,"C.  Varsòvia, 16",Barcelona,7,08041,Barcelonès,933528611,"Residencial Varsòvia, SL",Entitat privada d'iniciativa mercantil,B62933916
S05209,Sar servicios de atención domiciliaria,Servei d'ajuda a domicili,2002-06-19,0,"Av. Mare de Déu del Coll, 22-30",Barcelona,6,08023,Barcelonès,932848747,"Sar servicios de atención domiciliaria, SL Unipersonal",Entitat privada d'iniciativa mercantil,B62709050
S01567,Residencia de la Inmaculada. Barcelona,Servei de llar residència per a gent gran de caràcter temporal o permanent,1992-03-23,53,"C.  Domínguez Miralles, 25",Barcelona,5,08034,Barcelonès,932030150,Hermanas Carmelitas de San José. Barcelona,Entitat privada d'iniciativa social,R0800365I
S03036,Servei de suport. Parròquia Sant Genís dels Agudells,Servei de suport social als serveis socials especialitzats,1996-01-30,0,"C.  Saldes, 3",Barcelona,7,08035,Barcelonès,934170515,Parròquia de Sant Genís dels Agudells,Entitat privada d'iniciativa social,R0800438D
S09820,Llar Residència d'Anglesola,Servei de llar residència per a gent gran de caràcter temporal o permanent,2018-12-21,2,"C.  Lourdes, 1-3",Anglesola,,25320,Urgell,973308006,Ajuntament d'Anglesola,Entitat d'iniciativa pública,P2502500H
S02382,Residencial El Parc,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1994-02-23,24,"C.  Buxeda, 48",Sabadell,,08203,Vallès Occidental,937101833,"Gran Via BCN, SL",Entitat privada d'iniciativa mercantil,B61188603
S10643,Centre de dia El Tossalet,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2021-04-23,24,"C.  Era, 64",Cervià de les Garrigues,,25460,Garrigues,932682222,null,null,null
S02209,Dolça Llar,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1993-09-14,30,"C.  Escoles Pies, 100",Barcelona,5,08017,Barcelonès,932123428,"Dolça Llar, SL",Entitat privada d'iniciativa mercantil,B58436148
S02082,Llar Residència Amilcar,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1993-05-05,14,"C.  Amilcar, 36",Barcelona,8,08031,Barcelonès,933581707,Fundació Pro Discapacitats Intel·lectuals Jacinta Sastrada Morelló,Entitat privada d'iniciativa social,G58759978
S08431,Servei bàsic d'atenció social (Consorci d'atenció a les persones de l'Alt Urgell),Servei bàsic d'atenció social,2012-10-03,0,"Pça.Soldevila, 1","Seu d'Urgell, la",,25700,Alt Urgell,973354102,Consorci d'atenció a les persones de l'Alt Urgell,Entitat d'iniciativa pública,P2500113B
S09315,Residència Assistida DomusVi Sabadell Ciutat (Centre de dia),Servei de centre de dia per a gent gran de caràcter temporal o permanent,2016-09-19,20,"Ctr.de Mollet, 20",Sabadell,,08203,Vallès Occidental,933065397,"SAR Residencial y Asistencial,SAU",Entitat privada d'iniciativa mercantil,A79059085
S03586,Llar Sant Josep (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1997-04-08,102,"C.  Riera Basté, 48",Sant Boi de Llobregat,,08830,Baix Llobregat,936400464,Fundació Privada Llar Sant Josep,Entitat privada d'iniciativa social,G08622466
S00585,Servei d'Atenció Precoç Rella,Servei d'atenció precoç,1990-05-11,0,"C.  Manígua, 45-47",Barcelona,9,08027,Barcelonès,932434921,Obra social d'ajuda al disminuït psíquic (OSAS),Entitat privada d'iniciativa social,G08501009
S05375,Residència d'avis Martorell,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2002-11-13,25,"C.  Padró, 29",Martorell,,08760,Baix Llobregat,937752153,"Geriátricos Fuencas, SL",Entitat privada d'iniciativa mercantil,B64131428
S06171,Centre de dia la Caritat,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2005-03-23,15,"C.  Lorenzana, 1",Olot,,17800,Garrotxa,972260122,Fundació La Caritat,Entitat privada d'iniciativa social,G55079875
S04971,Servei de suport Parròquia de Santa Maria de Sants,Servei de suport social als serveis socials especialitzats,2001-10-11,0,"Pça.Bonet i Muixí, 5",Barcelona,3,08014,Barcelonès,934214129,Parròquia de Santa Maria de Sants,Entitat privada d'iniciativa social,R5800195I
S09888,Centre Ocupacional Les Bases,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),2019-02-13,150,"C.  Bernat de Cabrera, 14 Bl.B",Manresa,,08242,Bages,938272300,Fundació Ampans,Entitat privada d'iniciativa social,G08444671
S00592,Hospital de Sant Miquel,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-05-31,115,"Psg.de la Vall d'Hebron, 161-179",Barcelona,7,08035,Barcelonès,934281604,Fundació Albà,Entitat privada d'iniciativa social,G08258832
S06369,Centre de dia Llar Santa Anna,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2005-11-04,6,"C.  Dr. Olivé, 5-7","Vendrell, el",,43700,Baix Penedès,977660648,Residència Fundació Llar Santa Anna,Entitat privada d'iniciativa social,R4300090J
S04212,Servei de suport de l'Associació de Bipolars de Catalunya,Servei de suport social als serveis socials especialitzats,1999-03-24,0,"C.  Cuba, 2",Barcelona,9,08030,Barcelonès,934274422,Associació de Bipolars de Catalunya,Entitat privada d'iniciativa social,G60427390
S09215,Banc de Queviures d'Igualada,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2016-02-03,0,"c.  Sant Carles, 63",Igualada,,08700,Anoia,938045805,Ajuntament d'Igualada,Entitat d'iniciativa pública,P0810100H
S00350,Servei Social d'Atenció Primària - Ajuntament de Tortosa,Servei bàsic d'atenció social,1989-10-10,0,"C.  Enric Bayarri, 4",Tortosa,,43500,Baix Ebre,977585810,Ajuntament de Tortosa,Entitat d'iniciativa pública,P4315700G
S08097,Menjador Social Casa dels Avis,Servei de menjador social,2011-07-13,3,"C.  Barcelona, 23",Tona,,08551,Osona,938870812,Ajuntament de Tona,Entitat d'iniciativa pública,P0828300D
S09565,SAD Caldes d'Estrac,Servei d'ajuda a domicili,2018-01-15,0,"C.  La Riera, 5, 1a planta",Caldes d'Estrac,,08393,Maresme,937910005,Ajuntament de Caldes d'Estrac,Entitat d'iniciativa pública,P0803200E
S04018,Residència Municipal Sant Bernat (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1998-06-17,8,"C.  Sant Bernat, 32",Sallent,,08650,Bages,938370093,Ajuntament de Sallent,Entitat d'iniciativa pública,P0819000A
S00583,La Casona,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,1990-05-11,26,"Ctr.Flor de Maig, s/n, Km. 2'5",Cerdanyola del Vallès,,08290,Vallès Occidental,936922500,Fundació Privada Pro Persones amb Discapacitat Intel·lectual Catalònia,Entitat privada d'iniciativa social,G58682196
S02302,Unitat Bàsica d'Atenció Social Primària de Vacarisses,Servei bàsic d'atenció social,1993-12-16,0,"C.  Pau Casals, s/n",Vacarisses,,08299,Vallès Occidental,938359002,Ajuntament de Vacarisses,Entitat d'iniciativa pública,P0829100G
S02675,Servei Social d'Atenció Primària de l'Ajuntament de Montesquiu,Servei bàsic d'atenció social,1995-02-01,0,"Pça.Emili Juncadella, 1",Montesquiu,,08589,Osona,938529091,Ajuntament de Montesquiu,Entitat d'iniciativa pública,P0813000G
S08764,"Servei tutelar Amb tu, atenció a gent gran",Servei de tutela per a gent gran,2014-03-27,0,"C.  Breda, 6-8, baixos",Barcelona,2,08029,Barcelonès,934370528,Fundació Salut i Comunitat,Entitat privada d'iniciativa social,G61878831
S02181,Servei d'Informació Telefònica i Acollida Permanent-IPSS,Servei de suport social als serveis socials especialitzats,1993-07-26,0,"C.  Laforja, 67, 4rt 2ª",Barcelona,2,08021,Barcelonès,900900540,Fundació IPSS,Entitat privada d'iniciativa social,G64836059
S09705,Centre de serveis gent gran - Mirador Puigsacalm (Centre de dia),Servei de centre de dia per a gent gran de caràcter temporal o permanent,2018-07-27,50,"Ctr.Vic, 3","Vall d'en Bas, la",,17176,Garrotxa,972690225,Ajuntament de la Vall d'En Bas,Entitat d'iniciativa pública,P1701700E
S08243,Residència Anoia,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2012-02-16,54,"Av. Pau Claris, 11 bis",Martorell,,08760,Baix Llobregat,937741483,"Assistència Geriàtrica Anoia, SL",Entitat privada d'iniciativa mercantil,B60581469
S01175,Centre Montserrat d'Atenció Especialitzada per a Disminuïts MAP,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,1991-04-19,36,"C.  Raval Sant Pere, 24, 3er",Ripoll,,17500,Ripollès,972700237,Fundació Privada MAP,Entitat privada d'iniciativa social,G17414905
S08380,Associació de serveis integrals de futur(SAD),Servei d'ajuda a domicili,2012-07-06,0,"C.  Blanch, 2, 2n D",Figueres,,17600,Alt Empordà,972670391,Associació de serveis integrals de futur,Entitat privada d'iniciativa social,G55078265
S04475,Residència Bon Lloc (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1999-12-30,16,"C.  Partida Torres de Sanui, 147",Lleida,,25197,Segrià,973290066,Montserrat Tornero Lorente,Entitat privada d'iniciativa mercantil,40824909R
S07209,Servei de Menjador Mimara Creixell,Servei de menjador social,2008-09-04,20,"C.  Egara, 3",Creixell,,43839,Tarragonès,977800703,"Mimara Residencial, SL",Entitat privada d'iniciativa mercantil,B43654037
S05743,Residència els Cirerers,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-11-17,56,"C.  Afores, s/n (Vilafreser)",Vilademuls,,17468,Pla de l'Estany,629883803,"Residència els Cirerers, SL",Entitat privada d'iniciativa mercantil,B17685967
S07388,Servei de suport a l'autonomia a la pròpia llar Mas Albornà (Disc. físics),Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat física,2009-03-26,0,"C.  Montseny, 10-12 (Pol. Ind. Sant Pere Molanta)",Olèrdola,,08734,Alt Penedès,938921050,Fundació Privada Mas Albornà,Entitat privada d'iniciativa social,G63570709
S09459,La Merienda: Acogida a personas sin hogar,Servei de suport als serveis socials bàsics,2017-07-13,0,"C.  Aragó, 299",Barcelona,2,08009,Barcelonès,653796162,null,null,null
S07109,T-asiste,Servei d'ajuda a domicili,2008-05-27,0,"C.  Motors, 150",Barcelona,3,08038,Barcelonès,934329797,"Merchanservis, SA",Entitat privada d'iniciativa mercantil,A58648031
S03843,Servei d'atenció al malalt de càncer i a la seva família,Servei de suport social als serveis socials especialitzats,1997-12-24,0,"C.  Güell, 112, 1er 1ª",Girona,,17005,Gironès,972402263,Lliga contra el càncer de Girona i Comarques,Entitat privada d'iniciativa social,G17472192
S02673,Servei de Distribució d'Aliments de l'Ajuntament de Vilanova del Vallès,Servei de suport als serveis socials bàsics ( Distribució d'aliments),1995-02-01,0,"Pça.de l'Ajuntament, s/n",Vilanova del Vallès,,08410,Vallès Oriental,938459277,Ajuntament de Vilanova del Vallès,Entitat d'iniciativa pública,P0831000E
S05156,Programa de suport a l'autonomia a la pròpia llar Ramon Noguera,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2002-04-30,0,"C.  Indústria, 22",Girona,,17005,Gironès,972237611,Fundació Montilivi,Entitat privada d'iniciativa social,G55121891
S07627,Residència Ballesol - Badalona,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2009-12-03,160,"Av. Navarra, 2-4",Badalona,,08911,Barcelonès,934641372,"Intercentros Ballesol, SA",Entitat privada d'iniciativa mercantil,A79370599
S00871,"Centre d'Atenció Especialitzada per a Disminuïts Psíquics Profunds Adults ""Sarrià de Dalt""",Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,1990-11-21,15,"C.  Església, s/n",Sarrià de Ter,,17840,Gironès,972170789,Fundació Montilivi,Entitat privada d'iniciativa social,G55121891
S08872,Plataforma de Serveis Rurals Polivalents,Servei d'atenció integral a les persones grans en l'àmbit rural,2014-10-01,30,"c.  Segismon Tomeu, 29",Torrelavit,,08775,Alt Penedès,938995002,Ajuntament de Torrelavit,Entitat d'iniciativa pública,P0828700E
S09560,Servei de valoració de persones amb discapacitat-EVO,Servei de valoració,2018-01-15,0,"C.  Hospital, 31",Mataró,,08301,Maresme,937582802,Consorci Sanitari del Maresme,Entitat d'iniciativa pública,Q5856428G
S02932,Residència Pla de Martís,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-09-15,54,"C.  Martís de Baix, s/n",Esponellà,,17832,Pla de l'Estany,972597000,"Suara Equipaments Socials, SL",Entitat privada d'iniciativa mercantil,B65568719
S00891,Servei de teràpia ocupacional Ventall,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1990-11-21,96,"Av. Santa Oliva, 20-22","Vendrell, el",,43700,Baix Penedès,977667111,"Santa Teresa del Vendrell, Fundació Privada",Entitat privada d'iniciativa social,G43392364
S02789,Llar-Residencial per l'Avi II,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-05-04,21,"C.  Sant Pau, 12",Vilassar de Mar,,08340,Maresme,937595458,Bofill Moral SL,Entitat privada d'iniciativa mercantil,B66869298
S01138,Residència de la gent gran Sant Antoni de Tàrrega,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1991-03-14,77,"C.  Hospital, 2",Tàrrega,,25300,Urgell,973310760,Fundació Residència Gent Gran Sant Antoni de Tàrrega,Entitat privada d'iniciativa social,R2500013D
S10938,Oficina Molins de Rei,Servei de suport social als serveis socials especialitzats,2022-11-28,0,"C.  Jacint Verdaguer, 100 Es.A, 1er 2ª",Molins de Rei,,08750,Baix Llobregat,616562548,Fundación Privada Bayt Al-Thaqafa,Entitat privada d'iniciativa social,G63231476
S09130,EBAS d'atenció a la Dependència i gent gran,Servei bàsic d'atenció social,2015-10-08,0,"C.  Sant Josep, 16-22",Vilanova i la Geltrú,,08800,Garraf,938144481,Ajuntament de Vilanova i la Geltrú,Entitat d'iniciativa pública,P0830800I
S01760,Residència per a persones amb discapacitat psíquica Íbera,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,1992-10-16,31,"C.  Josep Tarradellas, 14-34",Amposta,,43870,Montsià,977704636,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S09900,Centre de Serveis d'Àmbit Rural per a la gent gran,Servei d'atenció integral a les persones grans en l'àmbit rural,2019-02-20,21,"C.  Àngel Guimerà, 1","Hostalets de Pierola, els",,08781,Anoia,937712535,Ajuntament Els Hostalets de Pierola,Entitat d'iniciativa pública,P0816100B
S08003,Centre de dia Residència Geriàtrica El Petit Hostalet,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2011-03-04,6,"C.  Roger de Lluria, 7",Vallirana,,08759,Baix Llobregat,936832507,"Residència Geriàtrica El Petit Hostalet, SL",Entitat privada d'iniciativa mercantil,B65396855
S06632,Centre de dia Avi Amunt,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2006-10-31,50,"C.  Degà Bahí, 21-27, bxs",Barcelona,10,08026,Barcelonès,934558630,"Avi Amunt, SL",Entitat privada d'iniciativa mercantil,B63669675
S00541,Residència Sant Bonifaci (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-03-21,58,"C.  Sant Bonifaci, 64-66",Piera,,08784,Anoia,937788308,"Fundació Privada ""Residència Sant Bonifaci""",Entitat privada d'iniciativa social,G08536757
S02848,Les Moreres - Residència per a gent gran,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-06-20,38,"C.  Anselm Clavé, 113",Martorelles,,08107,Vallès Oriental,935705374,"Residència les Moreres, SL",Entitat privada d'iniciativa mercantil,B62240809
S00634,Residència assistida Jardins de Corbera,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-06-18,64,"Urb.Santa Maria de la Vall, Carrer 7, núm. 35",Corbera de Llobregat,,08757,Baix Llobregat,936502861,"Residencial Les Deus, S.L.",Entitat privada d'iniciativa mercantil,B58977182
S09662,Residència Vila de Caldes,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2018-05-16,28,"C.  Santema, 15",Caldes d'Estrac,,08393,Maresme,938827677,"Residència Vila de Caldes, S.L.",Entitat privada d'iniciativa mercantil,B42884791
S10902,Llar Residència les Teules,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2022-10-05,8,"C.  Sant Pere, 13, bxos",Santa Coloma de Farners,,17430,Selva,,Fundació Privada Astres,Entitat privada d'iniciativa social,G17695768
S06706,Servei de suport ILLESCAT,Servei de suport social als serveis socials especialitzats,2006-12-27,0,"C.  Marquès de Sentmenat, 35-37",Barcelona,4,08014,Barcelonès,934302599,Fundació privada ILLESCAT,Entitat privada d'iniciativa social,G62521380
S05072,"Centre de dia de Pallejà ""Ana Ribot""",Servei de centre de dia per a gent gran de caràcter temporal o permanent,2002-01-17,63,"C.  Vallès i Ribot, 2 (local 2)",Pallejà,,08780,Baix Llobregat,936632388,Fundació Privada Ana Ribot Duran,Entitat privada d'iniciativa social,G62564372
S04210,Centre de dia Residencia y Atención Social,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-03-23,1,"Av. Nostra Senyora de Bellvitge, 20-28, Altell EFGHI","Hospitalet de Llobregat, l'",,08907,Barcelonès,932632034,"Residencia y Atención Social, SL",Entitat privada d'iniciativa mercantil,B61448684
S08588,"En casa, serveis d'ajuda domiciliària",Servei d'ajuda a domicili,2013-06-05,0,"C.  Rambla, 174, loc 24ª",Sabadell,,08201,Vallès Occidental,937459170,"Organización Euro Mediterranea 2007, SL",Entitat privada d'iniciativa mercantil,B57545345
S10850,"Servei d'Ajuda a Domicili, La Tecla a Casa",Servei d'ajuda a domicili,2022-06-15,0,"Pça.Verdaguer,, 2",Tarragona,,43003,Tarragonès,977248539,"Fundació Sociosanitària i Social Santa Tecla, Fundació Privada",Entitat privada d'iniciativa social,G43660372
S06599,Servei Prelaboral per a persones amb malaltia mental,Servei prelaboral,2006-09-27,40,"C.  De la tolerància, 29",Reus,,43204,Baix Camp,977920532,"Fundació Pere Mata, Fundació Privada",Entitat privada d'iniciativa social,G43576206
S07738,Servei d'acolliment residencial de primera acollida Nou Barris,Servei de residència temporal per a persones adultes en situació d'exclusió social,2010-05-04,64,"C.  Marie Curie, 20",Barcelona,8,08042,Barcelonès,932760539,Ajuntament de Barcelona,Entitat d'iniciativa pública,P0801900B
S03105,Càritas Parroquial de Puigcerdà,Servei de suport social als serveis socials especialitzats,1996-03-06,0,"C.  Espanya, 44",Puigcerdà,,17520,Cerdanya,972880462,Càritas Diocesana de Girona,Entitat privada d'iniciativa social,R1700016G
S07711,SAIAR de Maials,Servei d'atenció integral a les persones grans en l'àmbit rural,2010-03-26,20,"C.  Barceloneta, 95",Maials,,25179,Segrià,973130595,Ajuntament de Maials,Entitat d'iniciativa pública,P2516800F
S06747,Centre de creativitat El Trampolí,Servei de temps lliure per a persones amb discapacitat intel·lectual,2007-02-22,31,"C.  Masifern, 2","Bisbal d'Empordà, la",,17100,Baix Empordà,972640148,Associació El Trampolí,Entitat privada d'iniciativa social,G17654989
S08873,Servei d'ajuda a domicili MAP,Servei d'ajuda a domicili,2014-10-03,0,"c.  Dalí, 6-8 Pol. Ind. Els Pintors",Ripoll,,17500,Ripollès,972703104,Fundació Privada MAP,Entitat privada d'iniciativa social,G17414905
S00572,Equip Interdisciplinari per a la Petita Infància EIPI Ciutat Vella,Servei d'atenció precoç,1990-04-24,0,"C.  Reina Amàlia, 33",Barcelona,1,08001,Barcelonès,932563230,Institut Municipal de persones amb discapacitat de Barcelona,Entitat d'iniciativa pública,P5801909B
S06096,Centre de Dia Municipal Sant Josep,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2004-12-16,16,"C.  Muralla de Sant Llorenç, 15",Mataró,,08121,Maresme,937902618,Consorci Sanitari del Maresme,Entitat d'iniciativa pública,Q5856428G
S09323,Servei de Tutela Especialitzat,Servei de tutela per a gent gran,2016-10-10,0,"C.  Sant Josep, 24",Vilanova i la Geltrú,,08800,Garraf,937029122,Fundació Hospital Comarcal Sant Antoni Abat,Entitat privada d'iniciativa social,G08530826
S08324,SAIAR de Pinell de Brai,Servei d'atenció integral a les persones grans en l'àmbit rural,2012-05-17,15,"C.  Miravet, 34-36, 1er","Pinell de Brai, el",,43594,Terra Alta,977426231,Ajuntament del Pinell de Brai,Entitat d'iniciativa pública,P4310800J
